Museum,Lat,Long,Status,Location ,Open,Closed,Rate,Phone,Web,Notes,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Comment
Socrates Sculpture Park,40.7685504068492,-73.9368290638098,Open,"32-01 Vernon Boulevard at Broadway
Long Island City, NY 11106",9:00 AM,5:45 PM,4.3,17189561819,http://www.socratessculpturepark.org/,Opens whole week,1,1,1,1,1,1,1,1455
The Miriam and Ira D. Wallach Gallery,40.81724641197,-73.9588087331216,Open,"lenfest Center for the Arts
615 West 129th Street
New York, NY 10027",12:00 AM,6:00 PM,4.6,12128546800,https://wallach.columbia.edu/,Closed Saturdays through Tuesdays,0,0,1,1,1,0,0,82
The Africa Center,40.7965234666189,-73.9493569889432,Temporarily Closed,1280 Fifth Avenue (at 109th Street),8:00 AM,9:00 PM,4.7,12124449795,http://theafricacenter.org/,"Monday, Closed,Tuesday—Thursday, 8am—7pm; Friday, 8am—9pm;Saturday, 9am—9pm; Sunday, 9am—7pm",0,1,1,1,1,1,1,63
Japan Society,40.7526400188359,-73.9682870024374,Open,"333 East 47th Street
New York, NY 10017",11:00 AM,5:00 PM,4.6,12128321155,http://www.japansociety.org/,"Mon,Tue,Wed Closed",0,0,0,1,1,1,1,NA
The Paley Center for Media,40.7607124885467,-73.9774521294222,Temporarily Closed,"25 W 52nd Street (between 5th and 6th Avenues)
New York, NY 10019",12:00 AM,6:00 PM,4.5,12126216600,http://www.paleycenter.org/,"Mon,Tue Closed",0,0,1,1,1,1,1,404
Schomburg Center for Research in Black Culture,40.8148064159036,-73.9409796466142,Temporarily Closed,"515 Malcolm X Boulevard (at 135th Street)
New York, NY 10037",NA,NA,4.6,19172756975,http://www.nypl.org/locations/schomburg,NA,NA,NA,NA,NA,NA,NA,NA,99
Studio Museum in Harlem,40.8137114269766,-73.9544215064141,Temporarily Closed,"429 West 127th Street
New York, NY 10027",NA,NA,4.4,12128644500,https://www.studiomuseum.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Center for Brooklyn History ,40.6950051422609,-73.9924049736036,Open,"128 Pierrepont St, Brooklyn, NY 11201",10:00 AM,4:00 PM,4.6,17182224111,http://www.brooklynhistory.org/,Only open lobby service,1,1,1,1,1,1,1,376
Caribbean Cultural Center African Diaspora Institute,40.804767527957,-73.9380107735996,Temporarily Closed,"120 East 125th Street (between Park Ave and Lexington Ave) New York, NY 10035",NA,NA,4.7,12123077420,http://www.cccadi.org/,NA,NA,NA,NA,NA,NA,NA,NA,81
Goethe-Institut,40.7351499604111,-73.9877641889454,Temporarily Closed,"30 Irving Place
New York, NY 10003",9:00 AM,5:00 PM,4.4,12124398700,http://www.goethe.de/newyork,Closed on Sat and Sun,1,1,1,1,1,0,0,18
"Intrepid Sea, Air & Space Museum",40.7646565953295,-73.9996612466159,Open,"Pier 86, W 46th St, New York, NY 10036",10:00 AM,5:00 PM,4.6,12122450072,http://www.intrepidmuseum.org/,"Reopen on March,25th, open Thur through Sun.",0,0,0,1,1,1,1,27689
New York Transit Museum ,40.6905885206697,-73.9897863582605,Closed,"99 Schermerhorn St, Brooklyn, NY 11201",10:00 AM,4:00 PM,4.6,17186941600,http://www.nytransitmuseum.org/,"Sat,Sun opens 11:00am -17:00pm,closed on Mon",0,NA,1,1,1,1,1,3752
